Column1,Room Type,Monthly Rent,County,State
0,studio,486.0,Mahoning County,OH
1,4br,2152.0,Clark County,NV
2,1br,1267.0,Gwinnett County,GA
3,3br,1180.0,Granville County,NC
4,,1436.0,Suffolk County,NY
5,2br,1768.0,Miami-Dade County,FL
6,,585.0,Sebastian County,AR
7,studio,599.0,Lapeer County,MI
8,3br,3056.0,Monterey County,CA
9,3br,1193.0,St. Louis County,MN
10,4br,1364.0,Pickaway County,OH
11,2br,1937.0,Los Angeles County,
12,studio,960.0,Buncombe County,NC
13,3br,922.0,Greene County,NC
14,3br,2123.0,Pierce County,WA
15,1br,892.0,Clark County,NV
16,3br,1371.0,Hinds County,MS
17,studio,756.0,Richland County,
18,2br,1140.0,Cowlitz County,WA
19,studio,1180.0,Broward County,FL
20,3br,1148.0,Cuyahoga County,OH
21,studio,641.0,Franklin County,OH
22,,1089.0,Salt Lake County,UT
23,,1452.0,Ketchikan Gateway Borough,AK
24,studio,744.0,Salt Lake County,UT
25,1br,824.0,York County,PA
26,4br,1509.0,Lafayette Parish,LA
27,1br,985.0,Pinellas County,FL
28,4br,1723.0,Pinal County,AZ
29,2br,727.0,Monroe County,MS
30,2br,902.0,Barry County,MI
31,2br,1681.0,Morris County,NJ
32,3br,3181.0,Rockingham Counyt,NH
33,studio,795.0,Smith County,TX
34,,1704.0,Los Angeles County,CA
35,2br,995.0,Marion County,IN
36,2br,1022.0,Allegheny County,PA
37,studio,454.0,Treutlen County,GA
38,studio,1022.0,Broward County,
39,4br,1658.0,Johnson County,KS
40,1br,687.0,Burnett County,WI
41,1br,492.0,Winston County,AL
42,2br,958.0,Polk County,IA
43,3br,3608.0,Orange County,
44,4br,1654.0,Jefferson County,WI
45,studio,1082.0,York County,ME
46,2br,1252.0,Kendall County,IL
47,1br,643.0,Cuyahoga County,OH
48,studio,879.0,Craven County,NC
49,2br,808.0,Rush County,IN
50,,1596.0,Indian River County,FL
51,2br,2328.0,Middlesex County,MA
52,3br,1086.0,Tehama County,CA
53,studio,844.0,Matanuska-Susitna Borough,AK
54,4br,1430.0,Tipton County,TN
55,4br,2084.0,New Haven County,
56,3br,1920.0,Riverside County,CA
57,1br,588.0,Atascosa County,TX
58,4br,2435.0,Maricopa County,AZ
59,1br,1.428,Hudson County,
60,2br,658.0,Miami County,IN
61,3br,2495.0,Essex County,MA
62,4br,1354.0,Harrison County,MS
63,1br,783.0,Wayne County,MI
64,2br,1072.0,Hennepin County,MN
65,4br,2298.0,Strafford Couknty,NH
66,,1690.0,Wayne County,MI
67,1br,887.0,Bexar County,TX
68,3br,1660.0,New Haven County,CT
69,3br,1065.0,Le Flore County,OK
70,1br,1087.0,Riverside County,CA
71,3br,1822.0,Albemarle County,VA
72,3br,1181.0,Allegheny County,PA
73,4br,1030.0,Lenoir County,
74,2br,812.0,Indiana County,PA
75,1br,1019.0,Bexar County,
76,2br,1587.0,Williamson County,TX
77,2br,722.0,Sheboygan County,WI
78,1br,695.0,Stearns County,MN
79,4br,1198.0,St. Louis County,MO
80,4br,1582.0,Knox County,TN
81,4br,1021.0,Bladen County,NC
82,2br,986.0,Marion County,IN
83,3br,1452.0,Rockingham County,VA
84,1br,816.0,Douglas County,NV
85,3br,1257.0,Pulaski County,AR
86,2br,1569.0,Clark County,
87,4br,2020.0,Clark County,NV
88,3br,1181.0,Pitt County,
89,3br,1393.0,Shasta County,CA
90,2br,1905.0,Rockland County,NY
91,studio,640.0,Berks County,
92,3br,1146.0,Richland County,
93,studio,1119.0,Barnstable County,MA
94,4br,1322.0,Accomack County,
95,3br,1330.0,Smith County,TX
96,1br,911.0,Kent County,DE
97,studio,554.0,Macomb County,
98,studio,639.0,Ozaukee County,WI
99,studio,779.0,Richmond County,GA
100,2br,796.0,Rowan County,KY
101,3br,2872.0,King County,WA
102,,657.0,Columbia County,NY
103,studio,711.0,Allegheny County,PA
104,studio,1662.0,Prince William County,VA
105,studio,1910.0,Bronx Coutny,NY
106,3br,1874.0,Hennepin County,MN
107,1br,974.0,Tarrant County,TX
108,3br,1434.0,Monroe County,PA
109,1br,1162.0,San Bernardino County,CA
110,2br,1131.0,New Haven County,CT
111,4br,1281.0,Bossier Parish,LA
112,2br,1145.0,Clark County,NV
113,2br,804.0,Lawrence County,PA
114,4br,1323.0,Dauphin County,PA
115,studio,717.0,Bonner County,ID
116,4br,2704.0,New York County,NY
117,3br,2103.0,Morris County,NJ
118,3br,1122.0,Rock County,WI
119,studio,928.0,Bryan County,GA
120,4br,1964.0,Hartford County,CT
121,studio,1035.0,Miami-Dade County,FL
122,3br,2077.0,Philadelphia County,PA
123,3br,1240.0,Deer Lodge County,MT
124,2br,898.0,Pender County,NC
125,1br,1648.0,Orange County,CA
126,3br,1223.0,Lake County,IN
127,2br,1448.0,Clark County,WA
128,4br,1799.0,Litchfield County,CT
129,studio,2006.0,Middlesex County,MA
130,1br,918.0,Escambia County,FL
131,studio,683.0,Pima County,AZ
132,2br,1162.0,Coweta County,GA
133,1br,712.0,Westmoreland County,PA
134,4br,3271.0,Middlesex County,MA
135,4br,2750.0,Middlesex County,NJ
136,studio,0.732,Erie County,NY
137,4br,2315.0,New York County,NY
138,,1265.0,Greene County,OH
139,,547.0,Madison mounty,
140,,1178.0,Cherokee County,NC
141,1br,623.0,Gordon County,GA
142,1br,1076.0,Cabarrus County,NC
143,3br,778.0,Butler County,MO
144,,2591.0,Los Angeles County,CA
145,1br,927.0,Lafayette Parish,LA
146,3br,1038.0,Sedgwick County,KS
147,3br,1152.0,Hidalgo County,TX
148,1br,1007.0,St. Johns County,FL
149,4br,1791.0,Fulton County,GA
150,studio,1307.0,Suffolk County,NY
151,1br,1746.0,San Diego County,CA
152,,1240.0,Essex County,
153,studio,1108.0,Worcseter County,MA
154,studio,1121.0,Rockwall County,TX
155,studio,864.0,Bucks County,PA
156,3br,1027.0,Warren County,KY
157,2br,1395.0,Dakotf County,MN
158,1br,905.0,Uintah Counyt,UT
159,3br,937.0,Newberry County,SC
160,,1337.0,Jackson County,OR
161,3br,2346.0,Fairbanks North Star Borough,AK
162,studio,766.0,Madison County,ID
163,studio,834.0,Chester County,PA
164,4br,3382.0,New York County,NY
165,4br,2184.0,Kendall County,TX
166,4br,1334.0,Oakland County,MI
167,2br,1096.0,Tulsa County,OK
168,studio,587.0,Franklin Couny,MO
169,2br,762.0,Caddo County,
170,4br,1463.0,St. Clair County,AL
171,2br,1068.0,Virginia Beach city,VA
172,1br,961.0,La Plata County,CO
173,studio,945.0,Chester County,PA
174,2br,633.0,Monroe County,AL
175,3br,929.0,Auglaize County,OH
176,,986.0,Richland County,SC
177,1br,1120.0,Sacramento County,CA
178,3br,1647.0,Maricopa County,AZ
179,1br,1941.0,Alameda County,CA
180,3br,1477.0,Wyandotte County,KS
181,,876.0,Hardin County,
182,2br,1781.0,Arapahoe County,
183,studio,1412.0,San Diego County,CA
184,1br,1028.0,Hillsborough County,
185,,1439.0,Leon County,FL
186,4br,1402.0,Guilford County,
187,1br,1765.0,Alameda County,CA
188,1br,1926.0,New York County,NY
189,studio,1188.0,Pinellas County,
190,,820.0,Putnam County,TN
191,4br,1937.0,Denton County,TX
192,4br,2477.0,Kaufman County,TX
193,2br,803.0,Brown County,TX
194,2br,1070.0,Marion County,IN
195,studio,421.0,Claiborne County,TN
196,studio,633.0,Calcasieu Parish,
197,3br,1107.0,Lake County,IN
198,3br,2526.0,Los Angeles County,CA
199,1br,1067.0,Thurston County,WA
200,,1424.0,Clackamas Cofunty,OR
201,studio,1893.0,Queens County,NY
202,2br,1247.0,Gloucester County,NJ
203,2br,2111.0,King County,WA
204,1br,2176.0,Bronx County,NY
205,1br,530.0,Cloud County,KS
206,3br,1636.0,New Castle County,DE
207,4br,1821.0,Philadelphia County,PA
208,4br,1116.0,Milwaukee County,
209,studio,573.0,Boyd County,KY
210,studio,599.0,St. Louis County,MO
211,3br,1316.0,Erie County,NY
212,1br,1200.0,Arapahoe County,CO
213,3br,1740.0,Douglas County,CO
214,,3557.0,San Diego County,CA
215,1br,521.0,Shiawassee County,MI
216,3br,1114.0,Winnebago County,
217,3br,1093.0,Rapides Parish,LA
218,2br,1754.0,Baltimore city,MD
219,4br,2974.0,Palm Beach County,FL
220,2br,1178.0,Leon County,FL
221,2br,717.0,Allen County,OH
222,1br,2170.0,Orange County,
223,,1104.0,Franklin County,TN
